CON_ID,Country,Population,ISO_CODE,REG_ID
1,Afghanistan,45047069,AFG,1
2,Albania,2751025,ALB,2
3,Algeria,48028334,DZA,3
4,Andorra,83753,AND,2
5,Angola,40215179,AGO,3
6,Antigua and Barbuda,94626,ATG,4
7,Argentina,46003734,ARG,4
8,Armenia,2930915,ARM,2
9,Australia,27227096,AUS,5
10,Austria,9107266,AUT,2
11,Azerbaijan,10454855,AZE,2
12,Bahamas,404628,BHS,4
13,Bahrain,1675572,BHR,1
14,Bangladesh,177818044,BGD,6
15,Barbados,282724,BRB,4
16,Belarus,8937018,BLR,2
17,Belgium,11774642,BEL,2
18,Belize,428644,BLZ,4
19,Benin,15170419,BEN,3
20,Bhutan,802214,BTN,6
21,Bolivia,12749291,BOL,4
22,Bosnia and Herzegovina,3114242,BIH,2
23,Botswana,2603388,BWA,3
24,Brazil,213562666,BRA,4
25,Brunei,469775,BRN,5
26,Bulgaria,6667659,BGR,2
27,Burkina Faso,24601700,BFA,3
28,Burma,55184819,MMR,6
29,Burundi,14729157,BDI,3
30,Cabo Verde,529630,CPV,3
31,Cambodia,18051219,KHM,5
32,Cameroon,30640817,CMR,3
33,Canada,40467728,CAN,4
34,Central African Republic,5698984,CAF,3
35,Chad,21560380,TCD,3
36,Chile,19945850,CHL,4
37,China,1412914089,CHN,5
38,Colombia,53936226,COL,4
39,Comoros,899010,COM,3
40,Congo (Brazzaville),6637785,COG,3
41,Congo (Kinshasa),116452162,COD,3
42,Costa Rica,5174789,CRI,4
43,Cote d'Ivoire,33494346,CIV,3
44,Croatia,3822345,HRV,2
45,Cuba,10892659,CUB,4
46,Cyprus,1382334,CYP,2
47,Czechia,10527781,CZE,2
48,Denmark,6023520,DNK,2
49,Djibouti,1199459,DJI,1
50,Dominica,65511,DMA,4
51,Dominican Republic,11609500,DOM,4
52,Ecuador,18444506,ECU,4
53,Egypt,120101175,EGY,1
54,El Salvador,6391253,SLV,4
55,Equatorial Guinea,1984468,GNQ,3
56,Eritrea,3682669,ERI,3
57,Estonia,1331062,EST,2
58,Eswatini,1269859,SWZ,3
59,Ethiopia,138902185,ETH,3
60,Fiji,937282,FJI,5
61,Finland,5621739,FIN,2
62,France,66746401,FRA,2
63,Gabon,2647399,GAB,3
64,Gambia,2884079,GMB,3
65,Georgia,3804642,GEO,2
66,Germany,83644258,DEU,2
67,Ghana,35697557,GHA,3
68,Greece,9897115,GRC,2
69,Greenland,55629,GRL,2
70,Grenada,117362,GRD,4
71,Guatemala,18967978,GTM,4
72,Guinea,15441993,GIN,3
73,Guinea-Bissau,2297808,GNB,3
74,Guyana,840890,GUY,4
75,Haiti,12037506,HTI,4
76,Holy See,506,VAT,2
77,Honduras,11184760,HND,4
78,Hungary,9585818,HUN,2
79,Iceland,402329,ISL,2
80,India,1476625576,IND,6
81,Indonesia,287886782,IDN,6
82,Iran,93168497,IRN,1
83,Iraq,48007437,IRQ,1
84,Ireland,5356950,IRL,2
85,Israel,9647689,ISR,2
86,Italy,58926166,ITA,2
87,Jamaica,2833403,JAM,4
88,Japan,122427731,JPN,5
89,Jordan,11589532,JOR,1
90,Kazakhstan,21083626,KAZ,2
91,Kenya,58636412,KEN,3
92,Kosovo,1773449,KXK,2
93,Kuwait,5102773,KWT,1
94,Kyrgyzstan,7400465,KGZ,2
95,Laos,7974017,LAO,5
96,Latvia,1835935,LVA,2
97,Lebanon,5897467,LBN,1
98,Lesotho,2389336,LSO,3
99,Liberia,5853949,LBR,3
100,Libya,7539851,LBY,1
101,Liechtenstein,40368,LIE,2
102,Lithuania,2797338,LTU,2
103,Luxembourg,687448,LUX,2
104,Madagascar,33522052,MDG,3
105,Malawi,22785535,MWI,3
106,Malaysia,36385115,MYS,5
107,Maldives,531517,MDV,6
108,Mali,25932275,MLI,3
109,Malta,549011,MLT,2
110,Mauritania,5461319,MRT,3
111,Mauritius,1265059,MUS,3
112,Mexico,132997658,MEX,4
113,Moldova,2961253,MDA,2
114,Monaco,38087,MCO,2
115,Mongolia,3556798,MNG,5
116,Montenegro,626233,MNE,2
117,Morocco,38762441,MAR,1
118,Mozambique,36639851,MOZ,3
119,Namibia,3153246,NAM,3
120,Niger,28814878,NER,3
121,Nigeria,242431832,NGA,3
122,North Macedonia,1804063,MKD,2
123,Norway,5652989,NOR,2
124,Oman,5671458,OMN,1
125,Panama,4625718,PAN,4
126,Papua New Guinea,10947848,PNG,5
127,Paraguay,7095279,PRY,4
128,Peru,34922148,PER,4
129,Philippines,117724471,PHL,5
130,Poland,37843188,POL,2
131,Portugal,10395362,PRT,2
132,Qatar,3173559,QAT,1
133,Romania,18800605,ROU,2
134,Russia,143394458,RUS,2
135,Rwanda,14889693,RWA,3
136,Saint Kitts and Nevis,46992,KNA,4
137,Saint Lucia,180488,LCA,4
138,Saint Vincent and the Grenadines,99245,VCT,4
139,San Marino,33605,SMR,2
140,Sao Tome and Principe,244994,STP,3
141,Saudi Arabia,35165787,SAU,1
142,Senegal,19366548,SEN,3
143,Serbia,6641964,SRB,2
144,Seychelles,134959,SYC,3
145,Sierra Leone,8996745,SLE,3
146,Singapore,5905748,SGP,5
147,Slovakia,5451342,SVK,2
148,Slovenia,2114573,SVN,2
149,Somalia,20305907,SOM,1
150,South Africa,65453084,ZAF,3
151,South Korea,51600388,KOR,5
152,South Sudan,12436037,SSD,3
153,Spain,47850793,ESP,2
154,Sri Lanka,23348315,LKA,6
155,Sudan,53282719,SDN,1
156,Suriname,645256,SUR,4
157,Sweden,10701047,SWE,2
158,Switzerland,9007798,CHE,2
159,Syria,26472497,SYR,1
160,Taiwan*,23011292,TWN,5
161,Tajikistan,10978599,TJK,2
162,Tanzania,72563780,TZA,3
163,Thailand,71559614,THA,6
164,Timor-Leste,1436923,TLS,6
165,Togo,9930918,TGO,3
166,Trinidad and Tobago,1513268,TTO,4
167,Tunisia,12415138,TUN,1
168,Turkey,87926082,TUR,2
169,US,349035494,USA,4
170,Uganda,52761469,UGA,3
171,Ukraine,39535849,UKR,2
172,United Arab Emirates,11574682,ARE,1
173,United Kingdom,69931528,GBR,2
174,Uruguay,3382537,URY,4
175,Uzbekistan,37724223,UZB,2
176,Venezuela,28633711,VEN,4
177,Vietnam,102177431,VNM,5
178,West Bank and Gaza,5692790,PSE,1
179,Western Sahara,610813,ESH,3
180,Yemen,42961653,YEM,1
181,Zambia,22521915,ZMB,3
182,Zimbabwe,17273580,ZWE,3
