CON_ID,VAC_ID,DOSE_AMOUNT,VAC_START_DAY,USAGE_PERC
1,1,2,5/25/2022,64
1,2,2,1/23/2022,57
1,3,2,1/21/2022,85
1,4,2,9/13/2021,23
2,5,1,2/28/2022,72
2,2,2,8/15/2021,45
2,3,2,11/7/2021,11
3,4,2,4/10/2021,25
4,4,2,12/9/2020,39
4,3,2,10/25/2021,39
4,1,2,10/7/2022,27
5,3,2,3/16/2021,34
5,4,2,8/12/2021,70
5,5,1,6/1/2021,69
5,1,2,2/15/2021,69
6,5,1,11/27/2021,27
7,5,1,2/10/2022,42
7,4,2,2/10/2022,78
7,3,2,6/1/2021,13
7,2,2,1/30/2022,26
8,5,1,8/8/2022,91
8,3,2,9/27/2021,81
9,4,2,1/25/2021,78
9,1,2,4/22/2022,85
9,3,2,1/30/2021,86
10,2,2,12/31/2022,94
11,1,2,4/17/2021,57
11,2,2,9/12/2021,86
12,5,1,9/18/2022,95
12,2,2,8/31/2021,90
12,3,2,7/19/2022,43
13,2,2,3/22/2022,23
13,4,2,2/18/2021,17
13,3,2,5/18/2022,68
13,5,1,5/30/2022,77
14,2,2,7/26/2022,74
14,3,2,6/20/2021,60
14,5,1,1/1/2021,43
14,4,2,6/26/2022,47
15,3,2,6/21/2022,39
15,5,1,6/23/2021,74
15,2,2,5/7/2021,93
16,3,2,5/13/2021,80
17,4,2,7/6/2022,47
17,3,2,4/18/2022,10
17,1,2,4/14/2021,57
17,5,1,12/28/2020,34
18,3,2,12/6/2021,66
18,5,1,2/23/2021,30
18,2,2,11/4/2022,84
18,4,2,5/23/2022,55
19,2,2,2/26/2022,15
19,1,2,7/4/2021,86
19,3,2,1/2/2022,53
20,1,2,4/25/2021,35
20,2,2,4/10/2022,82
20,3,2,5/28/2022,37
20,5,1,6/1/2021,14
21,1,2,6/25/2022,10
21,5,1,9/25/2022,64
22,2,2,11/20/2022,13
22,5,1,12/1/2021,77
23,2,2,8/20/2022,50
23,5,1,12/1/2020,63
23,1,2,1/17/2022,31
24,1,2,6/5/2021,44
24,4,2,5/3/2021,90
25,5,1,7/5/2022,17
25,1,2,3/17/2022,45
25,4,2,6/15/2021,26
25,3,2,11/23/2022,28
26,5,1,11/22/2022,90
26,1,2,11/13/2022,91
26,3,2,11/1/2022,48
27,5,1,12/27/2020,70
28,4,2,7/26/2021,19
29,1,2,9/22/2022,74
29,4,2,9/19/2021,26
29,5,1,9/26/2022,62
30,2,2,5/26/2022,75
31,1,2,9/14/2021,93
32,5,1,10/12/2021,11
32,2,2,12/17/2021,55
32,1,2,7/4/2021,35
33,1,2,1/27/2021,54
33,5,1,8/31/2021,74
33,3,2,11/28/2021,70
33,4,2,8/14/2022,14
34,1,2,11/4/2021,90
34,4,2,10/20/2021,93
35,3,2,11/10/2022,35
35,5,1,1/14/2021,89
36,3,2,1/27/2022,87
37,4,2,11/13/2022,11
38,3,2,1/16/2022,88
38,2,2,11/5/2022,53
39,3,2,12/12/2022,35
39,1,2,9/16/2021,50
39,4,2,8/3/2022,35
40,4,2,1/10/2022,14
40,3,2,1/1/2022,93
40,1,2,11/6/2021,21
41,3,2,4/29/2022,44
41,4,2,7/18/2021,80
41,2,2,8/16/2022,57
42,1,2,9/7/2021,38
42,5,1,4/29/2021,12
42,2,2,4/17/2021,34
42,3,2,1/6/2021,52
43,4,2,7/22/2021,73
43,1,2,12/14/2020,49
44,5,1,1/12/2021,49
44,1,2,4/23/2022,41
45,5,1,9/25/2021,89
46,4,2,2/17/2021,35
46,1,2,12/9/2020,60
46,2,2,4/6/2022,89
47,5,1,1/31/2022,22
47,3,2,12/23/2021,29
47,4,2,12/3/2020,90
47,2,2,2/23/2021,56
48,5,1,1/19/2022,28
48,2,2,7/9/2022,17
49,3,2,5/7/2022,40
49,1,2,7/4/2021,47
49,4,2,2/22/2021,51
49,2,2,11/7/2022,22
50,5,1,8/2/2021,11
50,4,2,1/3/2021,68
51,4,2,5/15/2021,86
51,5,1,12/21/2022,27
51,1,2,12/1/2022,49
51,2,2,3/17/2021,61
52,3,2,9/10/2021,14
53,4,2,4/29/2021,20
53,2,2,3/11/2022,46
53,1,2,12/12/2021,30
54,1,2,1/19/2022,19
54,2,2,6/15/2021,51
54,3,2,6/14/2022,29
54,5,1,10/19/2022,47
55,2,2,12/2/2020,61
56,2,2,6/26/2021,67
56,1,2,11/3/2021,39
57,1,2,3/23/2021,60
57,4,2,6/14/2022,41
57,3,2,4/14/2022,51
58,2,2,7/16/2021,39
58,3,2,7/8/2021,49
59,3,2,8/17/2022,86
59,5,1,12/28/2021,70
59,4,2,6/17/2022,40
59,1,2,8/6/2021,34
60,4,2,11/28/2021,79
60,1,2,5/1/2021,83
60,2,2,7/19/2022,77
61,3,2,10/3/2021,50
61,2,2,9/8/2021,48
61,1,2,6/7/2022,20
62,1,2,7/20/2022,11
62,2,2,6/19/2021,82
62,4,2,11/10/2022,19
62,3,2,10/30/2022,21
63,1,2,12/2/2022,46
64,2,2,12/28/2020,42
64,5,1,10/6/2022,34
64,1,2,5/3/2022,39
64,4,2,11/17/2022,83
65,5,1,1/2/2022,69
65,2,2,9/16/2021,46
65,1,2,5/14/2021,76
66,5,1,5/4/2022,21
67,3,2,12/9/2020,16
67,1,2,2/20/2022,19
67,4,2,7/29/2022,22
67,2,2,8/27/2022,47
68,1,2,6/9/2022,13
69,5,1,9/3/2022,79
69,1,2,2/7/2021,44
69,3,2,1/5/2021,91
69,4,2,9/23/2021,36
70,3,2,11/23/2021,78
70,5,1,3/4/2022,67
71,4,2,9/30/2022,28
72,1,2,4/22/2021,78
73,2,2,4/3/2021,34
74,5,1,3/9/2021,73
74,2,2,3/17/2022,53
74,3,2,4/13/2022,14
75,4,2,3/12/2022,70
75,2,2,3/20/2021,54
75,5,1,6/15/2022,49
76,1,2,12/25/2020,41
76,2,2,6/18/2021,79
76,5,1,1/17/2022,40
77,4,2,2/28/2021,58
78,5,1,10/7/2022,92
79,4,2,10/7/2022,92
79,3,2,1/13/2022,85
79,5,1,1/21/2022,16
80,2,2,7/27/2021,88
80,1,2,9/29/2022,78
80,5,1,8/12/2022,13
80,4,2,3/26/2021,58
81,1,2,6/11/2022,34
82,4,2,2/1/2022,74
82,2,2,5/12/2022,32
82,1,2,10/11/2021,74
82,3,2,10/17/2021,21
83,4,2,3/13/2022,42
83,1,2,8/17/2022,14
83,2,2,3/6/2022,70
83,5,1,2/13/2021,27
84,5,1,4/14/2021,80
84,4,2,4/20/2021,20
84,2,2,11/18/2022,13
85,1,2,5/4/2022,78
86,3,2,12/28/2022,23
86,4,2,11/1/2022,19
86,5,1,5/13/2021,79
86,2,2,12/24/2021,69
87,4,2,3/12/2022,54
87,1,2,12/19/2020,63
88,5,1,3/4/2021,27
88,4,2,4/26/2021,71
89,5,1,6/26/2021,17
89,3,2,6/29/2021,48
89,1,2,12/6/2022,86
89,2,2,1/10/2022,91
90,2,2,4/12/2021,87
91,1,2,8/14/2022,33
92,4,2,6/18/2021,77
93,1,2,7/23/2021,37
94,2,2,2/5/2022,21
94,1,2,11/2/2021,95
94,4,2,3/4/2021,55
94,3,2,1/22/2021,31
95,2,2,3/27/2021,22
95,5,1,11/26/2021,42
95,1,2,3/22/2021,81
96,5,1,5/3/2021,22
97,3,2,12/9/2022,19
97,5,1,4/6/2021,51
98,2,2,7/18/2022,20
99,1,2,7/19/2021,87
100,4,2,4/17/2022,17
100,2,2,7/31/2022,42
100,5,1,4/19/2021,90
101,1,2,11/16/2021,62
101,3,2,2/28/2021,51
101,4,2,9/21/2022,16
101,2,2,8/1/2021,14
102,3,2,2/27/2021,55
102,1,2,4/12/2022,12
102,4,2,2/14/2021,73
102,5,1,2/12/2021,26
103,1,2,1/11/2021,10
104,2,2,3/1/2021,43
104,5,1,8/27/2021,29
104,4,2,12/5/2022,33
105,1,2,2/26/2021,47
105,4,2,10/5/2022,57
105,5,1,6/30/2022,57
106,5,1,11/5/2022,74
106,2,2,1/26/2021,59
107,3,2,8/6/2021,59
107,1,2,10/14/2021,28
108,4,2,1/16/2021,93
109,5,1,5/25/2021,13
109,2,2,12/10/2021,55
110,5,1,9/9/2022,20
110,3,2,3/8/2022,18
110,4,2,4/3/2021,11
111,1,2,12/25/2021,62
111,3,2,10/6/2021,19
111,2,2,4/23/2022,14
111,5,1,7/22/2021,11
112,3,2,5/16/2021,67
112,5,1,7/19/2022,92
112,2,2,7/1/2021,78
112,1,2,9/6/2021,36
113,5,1,5/26/2022,53
114,5,1,3/7/2022,39
114,3,2,3/7/2021,15
114,2,2,6/6/2022,67
114,4,2,5/23/2022,36
115,3,2,6/2/2022,30
115,1,2,6/28/2021,33
115,2,2,11/15/2021,64
115,4,2,3/12/2021,67
116,1,2,11/25/2022,28
116,4,2,10/10/2022,49
116,2,2,4/26/2021,49
116,3,2,8/15/2022,13
117,2,2,3/15/2021,83
117,3,2,1/6/2021,14
117,5,1,9/19/2021,19
117,1,2,4/22/2021,91
118,5,1,4/24/2022,51
118,3,2,11/29/2022,39
118,4,2,10/7/2022,73
119,3,2,8/24/2022,51
119,1,2,4/18/2022,67
119,2,2,5/29/2021,85
119,5,1,10/16/2022,74
120,3,2,10/11/2021,50
120,1,2,8/28/2021,29
120,2,2,5/10/2022,30
120,5,1,2/22/2021,22
121,5,1,8/4/2022,42
121,1,2,3/29/2021,71
122,1,2,7/10/2022,73
122,4,2,3/17/2021,85
122,2,2,5/11/2021,48
122,5,1,3/16/2022,67
123,4,2,6/19/2022,95
123,2,2,7/3/2022,27
123,1,2,3/27/2021,91
124,2,2,4/27/2022,80
124,3,2,11/4/2021,24
124,5,1,9/18/2021,95
124,1,2,4/30/2022,52
125,1,2,10/12/2022,93
126,2,2,10/3/2021,42
127,2,2,11/18/2022,95
127,4,2,11/12/2022,95
128,3,2,9/17/2022,18
128,1,2,5/11/2022,41
128,2,2,1/15/2022,48
128,4,2,7/4/2022,30
129,1,2,1/16/2021,65
129,2,2,1/13/2022,61
129,3,2,5/24/2021,78
129,4,2,9/2/2022,11
130,3,2,2/13/2021,27
130,5,1,8/15/2022,54
131,3,2,8/21/2022,68
131,4,2,2/20/2021,71
132,4,2,5/10/2022,30
132,3,2,12/17/2020,35
132,2,2,3/14/2022,68
133,3,2,8/1/2022,34
134,3,2,8/23/2021,32
134,4,2,2/19/2022,49
134,1,2,10/23/2021,94
135,5,1,2/26/2021,19
135,2,2,8/4/2021,29
135,3,2,7/1/2022,87
136,4,2,7/24/2021,13
136,2,2,12/7/2021,21
136,5,1,11/3/2021,93
137,3,2,6/12/2021,49
138,5,1,5/5/2022,31
