CON_ID,WEEK_START,NEW_CONFIRM,NEW_DEATH,NEW_RECOV,WEEKLY_INC
1,3/29/2026,106,10,18,737
2,3/29/2026,117,6,63,709
3,3/29/2026,616,8,749,4282
4,3/29/2026,10,0,0,23
5,3/29/2026,18,1,0,201
6,3/29/2026,4,0,5,10
7,3/29/2026,4890,120,2057,36642
8,3/29/2026,73,6,187,2409
9,3/29/2026,368,6,137,2875
10,3/29/2026,86,1,37,815
11,3/29/2026,396,6,558,2556
12,3/29/2026,40,0,0,208
13,3/29/2026,351,1,421,2546
14,3/29/2026,2772,37,1801,18772
15,3/29/2026,0,0,0,4
16,3/29/2026,119,4,67,1038
17,3/29/2026,402,1,14,2334
18,3/29/2026,0,0,0,8
19,3/29/2026,0,0,0,168
20,3/29/2026,4,0,1,9
21,3/29/2026,1752,64,309,10190
22,3/29/2026,731,14,375,2019
23,3/29/2026,53,1,11,217
24,3/29/2026,23284,614,33728,323729
25,3/29/2026,0,0,0,0
26,3/29/2026,194,7,230,1692
27,3/29/2026,14,0,6,35
28,3/29/2026,0,0,2,9
29,3/29/2026,17,0,22,56
30,3/29/2026,21,0,103,257
31,3/29/2026,1,0,4,55
32,3/29/2026,402,6,0,953
33,3/29/2026,682,11,0,3533
34,3/29/2026,0,0,0,51
35,3/29/2026,7,0,0,33
36,3/29/2026,2133,75,1859,14894
37,3/29/2026,213,4,7,1161
38,3/29/2026,16306,508,11494,53096
39,3/29/2026,0,0,0,20
40,3/29/2026,162,3,73,349
41,3/29/2026,13,4,190,401
42,3/29/2026,612,11,88,4307
43,3/29/2026,59,0,183,1343
44,3/29/2026,24,3,70,511
45,3/29/2026,37,0,2,86
46,3/29/2026,3,0,0,22
47,3/29/2026,192,2,0,1418
48,3/29/2026,109,0,77,308
49,3/29/2026,9,0,11,39
50,3/29/2026,0,0,0,0
51,3/29/2026,1248,20,1601,10200
52,3/29/2026,467,17,0,6541
53,3/29/2026,420,46,1007,4080
54,3/29/2026,405,8,130,2828
55,3/29/2026,0,0,0,0
56,3/29/2026,2,0,2,14
57,3/29/2026,0,0,1,13
58,3/29/2026,109,2,39,490
59,3/29/2026,579,5,170,4340
60,3/29/2026,0,0,0,0
61,3/29/2026,5,0,0,58
62,3/29/2026,2551,17,267,6329
63,3/29/2026,205,0,219,756
64,3/29/2026,49,2,6,214
65,3/29/2026,6,0,2,98
66,3/29/2026,445,1,259,3787
67,3/29/2026,655,0,307,5194
68,3/29/2026,34,0,0,215
69,3/29/2026,1,0,0,1
70,3/29/2026,0,0,0,0
71,3/29/2026,256,27,843,6270
72,3/29/2026,47,2,105,465
73,3/29/2026,0,0,0,5
74,3/29/2026,19,0,0,52
75,3/29/2026,25,1,0,287
76,3/29/2026,0,0,0,0
77,3/29/2026,465,50,117,5130
78,3/29/2026,13,0,0,109
79,3/29/2026,7,0,0,15
80,3/29/2026,44457,637,33598,324735
81,3/29/2026,1525,57,1518,12089
82,3/29/2026,2434,212,1931,17404
83,3/29/2026,2553,96,1927,17892
84,3/29/2026,11,0,0,126
85,3/29/2026,2029,4,108,11982
86,3/29/2026,168,5,147,1662
87,3/29/2026,11,0,0,44
88,3/29/2026,594,0,364,5436
89,3/29/2026,8,0,0,-47
90,3/29/2026,1526,0,1833,11180
91,3/29/2026,372,5,90,4204
92,3/29/2026,496,16,274,1536
93,3/29/2026,606,5,684,4616
94,3/29/2026,483,24,817,6153
95,3/29/2026,0,0,0,1
96,3/29/2026,0,0,0,27
97,3/29/2026,132,0,17,977
98,3/29/2026,0,0,0,146
99,3/29/2026,5,0,5,60
