CON_ID,REPORT_DATE,Confirmed,Deaths,Recovered
1,3/29/2026,36263,1269,25198
1,3/24/2026,36263,1269,25198
1,3/26/2026,36263,1269,25198
1,4/3/2026,36263,1269,25198
2,3/27/2026,4880,144,2745
2,3/25/2026,4880,144,2745
2,3/23/2026,4880,144,2745
3,3/28/2026,27973,1163,18837
4,3/27/2026,907,52,803
4,3/23/2026,907,52,803
4,4/3/2026,907,52,803
5,3/28/2026,950,41,242
5,3/31/2026,950,41,242
5,3/26/2026,950,41,242
5,3/30/2026,950,41,242
6,3/26/2026,86,3,65
7,3/27/2026,167416,3059,72575
7,4/1/2026,167416,3059,72575
7,3/30/2026,167416,3059,72575
7,3/29/2026,167416,3059,72575
8,3/25/2026,37390,711,26665
8,3/24/2026,37390,711,26665
9,3/22/2026,15303,167,9311
9,3/28/2026,15303,167,9311
9,4/1/2026,15303,167,9311
10,4/3/2026,20558,713,18246
11,3/27/2026,30446,423,23242
11,3/26/2026,30446,423,23242
12,3/24/2026,382,11,91
12,3/23/2026,382,11,91
12,4/4/2026,382,11,91
13,3/24/2026,39482,141,36110
13,4/1/2026,39482,141,36110
13,4/2/2026,39482,141,36110
13,4/3/2026,39482,141,36110
14,4/2/2026,226225,2965,125683
14,3/25/2026,226225,2965,125683
14,3/26/2026,226225,2965,125683
14,4/1/2026,226225,2965,125683
15,3/31/2026,110,7,94
15,3/27/2026,110,7,94
15,3/26/2026,110,7,94
16,3/30/2026,67251,538,60492
17,3/28/2026,66428,9822,17452
17,3/30/2026,66428,9822,17452
17,3/31/2026,66428,9822,17452
17,3/25/2026,66428,9822,17452
18,3/23/2026,48,2,26
18,4/2/2026,48,2,26
18,3/24/2026,48,2,26
18,3/27/2026,48,2,26
19,3/30/2026,1770,35,1036
19,3/26/2026,1770,35,1036
19,3/31/2026,1770,35,1036
20,4/2/2026,99,0,86
20,4/1/2026,99,0,86
20,3/28/2026,99,0,86
20,3/31/2026,99,0,86
21,4/1/2026,71181,2647,21478
21,3/30/2026,71181,2647,21478
22,3/31/2026,10498,294,4930
22,3/27/2026,10498,294,4930
23,3/26/2026,739,2,63
23,3/25/2026,739,2,63
23,4/2/2026,739,2,63
24,3/31/2026,2442375,87618,1846641
24,4/4/2026,2442375,87618,1846641
25,3/31/2026,141,3,138
25,3/22/2026,141,3,138
25,3/26/2026,141,3,138
25,4/1/2026,141,3,138
26,3/29/2026,10621,347,5585
26,3/23/2026,10621,347,5585
26,3/28/2026,10621,347,5585
27,3/23/2026,1100,53,926
28,3/30/2026,350,6,292
29,3/22/2026,378,1,301
29,4/1/2026,378,1,301
29,4/3/2026,378,1,301
30,4/3/2026,2328,22,1550
31,3/30/2026,226,0,147
32,4/2/2026,17110,391,14539
32,3/29/2026,17110,391,14539
32,3/22/2026,17110,391,14539
33,3/22/2026,116458,8944,0
33,3/23/2026,116458,8944,0
33,3/30/2026,116458,8944,0
33,4/1/2026,116458,8944,0
34,3/29/2026,4599,59,1546
34,4/3/2026,4599,59,1546
35,3/22/2026,922,75,810
35,3/26/2026,922,75,810
36,3/25/2026,347923,9187,319954
37,4/2/2026,86783,4656,78869
38,3/23/2026,257101,8777,131161
38,3/30/2026,257101,8777,131161
39,3/28/2026,354,7,328
39,4/3/2026,354,7,328
39,3/30/2026,354,7,328
40,3/30/2026,3200,54,829
40,4/4/2026,3200,54,829
40,3/27/2026,3200,54,829
41,4/2/2026,8844,208,5700
41,4/4/2026,8844,208,5700
41,3/27/2026,8844,208,5700
42,3/30/2026,15841,115,3824
42,3/28/2026,15841,115,3824
42,3/24/2026,15841,115,3824
42,4/1/2026,15841,115,3824
43,3/23/2026,15655,96,10361
43,3/30/2026,15655,96,10361
44,4/1/2026,4881,139,3936
44,3/31/2026,4881,139,3936
45,3/29/2026,2532,87,2351
46,3/27/2026,1060,19,852
46,4/2/2026,1060,19,852
46,3/29/2026,1060,19,852
47,3/26/2026,15516,373,11428
47,3/24/2026,15516,373,11428
47,4/3/2026,15516,373,11428
