Country,Confirmed,Deaths,Recovered,Active,REPORT_DATE,NEW_CONFIRM,NEW_DEATH,NEW_RECOV,Deaths / 100 Cases,Recovered / 100 Cases,Deaths / 100 Recovered,Confirmed last week,WEEKLY_INC,1 week % increase,WEEK_START,WHO_Region,Population,ISO_CODE,GDP,CEOworld_Healthcare_Index,Vaccine_Policy,VAC_NAME,DOSE_AMOUNT,VAC_START_DAY,USAGE_PERC
Afghanistan,36263,1269,25198,9796,3/29/2026,106,10,18,3.5,69.49,5.04,35526,737,2.07,3/29/2026,Eastern Mediterranean,45047069,AFG,18080,,Recommended,Moderna,2,5/25/2022,64
Afghanistan,36263,1269,25198,9796,3/24/2026,106,10,18,3.5,69.49,5.04,35526,737,2.07,3/29/2026,Eastern Mediterranean,45047069,AFG,18080,,Healthcare Priority,AstraZeneca,2,1/23/2022,57
Afghanistan,36263,1269,25198,9796,3/26/2026,106,10,18,3.5,69.49,5.04,35526,737,2.07,3/29/2026,Eastern Mediterranean,45047069,AFG,18080,,Recommended,Sinovac,2,1/21/2022,85
Afghanistan,36263,1269,25198,9796,4/3/2026,106,10,18,3.5,69.49,5.04,35526,737,2.07,3/29/2026,Eastern Mediterranean,45047069,AFG,18080,,Mandatory,Pfizer,2,9/13/2021,23
Albania,4880,144,2745,1991,3/27/2026,117,6,63,2.95,56.25,5.25,4171,709,17,3/29/2026,Europe,2751025,ALB,32411,48.1,Recommended,Johnson&Johnson,1,2/28/2022,72
Albania,4880,144,2745,1991,3/25/2026,117,6,63,2.95,56.25,5.25,4171,709,17,3/29/2026,Europe,2751025,ALB,32411,48.1,Healthcare Priority,AstraZeneca,2,8/15/2021,45
Albania,4880,144,2745,1991,3/23/2026,117,6,63,2.95,56.25,5.25,4171,709,17,3/29/2026,Europe,2751025,ALB,32411,48.1,Age-Based Priority,Sinovac,2,11/7/2021,11
Algeria,27973,1163,18837,7973,3/28/2026,616,8,749,4.16,67.34,6.17,23691,4282,18.07,3/29/2026,Africa,48028334,DZA,284984,54.5,Recommended,Pfizer,2,4/10/2021,25
Andorra,907,52,803,52,3/27/2026,10,0,0,5.73,88.53,6.48,884,23,2.6,3/29/2026,Europe,83753,AND,4715,,Age-Based Priority,Pfizer,2,12/9/2020,39
Andorra,907,52,803,52,3/23/2026,10,0,0,5.73,88.53,6.48,884,23,2.6,3/29/2026,Europe,83753,AND,4715,,Age-Based Priority,Sinovac,2,10/25/2021,39
Andorra,907,52,803,52,4/3/2026,10,0,0,5.73,88.53,6.48,884,23,2.6,3/29/2026,Europe,83753,AND,4715,,Mandatory,Moderna,2,10/7/2022,27
Angola,950,41,242,667,3/28/2026,18,1,0,4.32,25.47,16.94,749,201,26.84,3/29/2026,Africa,40215179,AGO,109855,,Voluntary,Sinovac,2,3/16/2021,34
Angola,950,41,242,667,3/31/2026,18,1,0,4.32,25.47,16.94,749,201,26.84,3/29/2026,Africa,40215179,AGO,109855,,Mandatory,Pfizer,2,8/12/2021,70
Angola,950,41,242,667,3/26/2026,18,1,0,4.32,25.47,16.94,749,201,26.84,3/29/2026,Africa,40215179,AGO,109855,,Mandatory,Johnson&Johnson,1,6/1/2021,69
Angola,950,41,242,667,3/30/2026,18,1,0,4.32,25.47,16.94,749,201,26.84,3/29/2026,Africa,40215179,AGO,109855,,Healthcare Priority,Moderna,2,2/15/2021,69
Antigua and Barbuda,86,3,65,18,3/26/2026,4,0,5,3.49,75.58,4.62,76,10,13.16,3/29/2026,Americas,94626,ATG,2456,,Mandatory,Johnson&Johnson,1,11/27/2021,27
Argentina,167416,3059,72575,91782,3/27/2026,4890,120,2057,1.83,43.35,4.21,130774,36642,28.02,3/29/2026,Americas,46003734,ARG,667922,67.8,Recommended,Johnson&Johnson,1,2/10/2022,42
